[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: Successfully loaded OpenSpiel environments: 41.
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: OpenSpiel games skipped: 0.
Loading 42 agents: avikdas567_heuristic, biohack44_day2, daniilkrasnovvv_conservative_prob, jek1wantaufik_lucario, kiyotah_abomasnow, kiyotah_dragapult, kiyotah_iono, kojimar_lucario, makimakiai_rl, makthanithin_1084_baseline, makthanithin_improved_prob, mechi22_alakazam, pixiux_lucario_v63, plamen06_steel, pllinas_alakazam, prvsiyan_control_v11, prvsiyan_grimbelief_alakazam, romanrozen_strong_start, ryotasueyoshi_alakazam, tb_abomasnow, tb_alakazam, tb_archaludon, tb_dragapult, tb_heuristic, tb_iono, tb_lucario, tb_rulecore, tb_search, tb_starmie, wmh_alakazam, wmh_bellibolt, wmh_chandelure, wmh_froslass, wmh_garchomp, wmh_grimmsnarl, wmh_kangaskhan, wmh_megastarmie, wmh_mewtwo, wmh_ogerpon, wmh_trevenant, wmh_typhlosion, random_legal
[1/903] avikdas567_heuristic vs avikdas567_heuristic: avikdas567_heuristic 1-1  (2 games, 0.4s, 0.18s/game)
makthanithin_1084_baseline6       5       3       3       3       2       3       3       5       -       2       1       2       3       1       3       6       4       4       3       4       2       3       6       5       5       4       5       6       3       6       5       5       6       6       6       5       6       6       1       6       6        68.4  [62.4,73.8]
makthanithin_improved_prob6       4       3       4       3       4       5       0       6       4       -       3       3       3       1       4       6       2       3       1       5       1       4       6       3       5       5       6       5       5       6       4       5       3       5       6       3       5       6       4       6       6        68.4  [62.4,73.8]
mechi22_alakazam      6       6       5       4       6       1       2       6       6       5       3       -       2       3       3       6       4       5       6       6       6       3       2       5       4       5       5       6       5       3       5       4       6       0       3       5       2       6       6       5       5       6        73.6  [67.8,78.7]
pixiux_lucario_v63    6       5       2       2       1       3       5       2       6       4       3       4       -       1       1       1       6       3       3       3       3       4       1       6       3       4       5       4       5       3       6       5       3       4       6       6       5       6       6       2       5       6        64.4  [58.3,70.1]
plamen06_steel        6       5       3       3       5       6       5       3       6       3       3       3       5       -       0       2       5       4       2       6       3       4       5       6       5       5       4       6       6       3       5       6       6       6       6       5       4       6       4       6       6       6        76.0  [70.3,80.9]
pllinas_alakazam      6       6       5       6       6       3       5       5       6       5       5       3       5       6       -       2       5       5       5       6       5       5       3       6       4       5       6       6       6       4       6       5       4       4       6       6       3       5       6       5       6       6        83.6  [78.5,87.7]
prvsiyan_control_v11  3       0       3       5       2       3       0       4       6       3       2       0       5       4       4       -       5       4       3       6       6       3       4       6       0       4       6       4       5       3       2       4       3       6       4       6       3       6       6       5       0       5        62.0  [55.8,67.8]
prvsiyan_grimbelief_alakazam1       0       0       0       1       1       0       0       4       0       0       2       0       1       1       1       -       0       2       0       0       0       0       1       0       1       1       3       1       1       2       3       1       0       2       4       1       5       5       0       0       6        21.2  [16.6,26.7]
romanrozen_strong_start6       5       3       2       4       4       4       3       6       2       4       1       3       2       1       2       6       -       4       5       1       5       5       6       6       4       4       6       6       2       6       6       2       2       6       6       5       6       6       2       6       6        69.2  [63.2,74.6]
ryotasueyoshi_alakazam5       5       3       5       4       4       4       4       6       2       3       0       3       4       1       3       4       2       -       4       3       3       2       5       3       4       6       5       4       2       6       4       5       1       5       4       3       2       6       3       6       5        62.0  [55.8,67.8]
tb_abomasnow          5       0       3       1       5       4       1       3       6       3       5       0       3       0       0       0       6       1       2       -       2       3       3       5       1       6       4       5       6       3       5       3       5       3       6       6       4       6       5       2       3       6        56.8  [50.6,62.8]
tb_alakazam           5       5       4       4       4       2       2       4       3       2       1       0       3       3       1       0       6       5       3       4       -       3       4       6       2       3       3       6       5       1       4       2       5       2       5       5       4       1       6       2       5       6        57.2  [51.0,63.2]
tb_archaludon         6       5       4       5       3       4       4       3       6       4       5       3       2       2       1       3       6       1       3       3       3       -       3       5       2       4       4       6       6       2       6       3       6       3       6       6       5       5       6       5       6       6        69.2  [63.2,74.6]
tb_dragapult          5       0       1       6       5       6       5       2       6       3       2       4       5       1       3       2       6       1       4       3       2       3       -       6       6       3       6       3       6       3       6       5       5       3       5       6       2       6       6       6       6       6        68.8  [62.8,74.2]
tb_heuristic          3       0       2       0       1       0       0       1       2       0       0       1       0       0       0       0       5       0       1       1       0       1       0       -       0       1       0       3       6       0       0       2       0       0       2       3       0       2       5       2       1       3        20.0  [15.5,25.4]
tb_iono               6       6       0       1       2       1       1       1       5       1       3       2       3       1       2       6       6       0       3       5       4       4       0       6       -       4       2       5       6       1       6       6       6       2       6       6       6       6       6       6       3       6        61.6  [55.4,67.4]
tb_lucario            6       0       0       2       2       1       4       1       5       1       1       1       1       1       1       2       5       2       2       0       3       2       3       5       2       -       4       3       6       1       6       4       1       1       5       5       3       2       5       1       1       6        43.6  [37.6,49.8]
tb_rulecore           5       0       0       2       0       1       3       0       6       2       1       1       0       2       0       0       5       2       0       2       3       2       0       6       4       2       -       5       6       0       6       6       1       0       5       5       2       4       6       0       2       6        42.0  [36.0,48.2]
tb_search             4       0       1       3       1       2       3       1       5       1       0       0       2       0       0       2       3       0       1       1       0       0       3       3       1       3       1       -       5       1       5       6       3       1       3       6       1       3       5       0       3       5        36.0  [30.3,42.1]
tb_starmie            1       0       0       1       0       0       0       0       1       0       1       1       1       0       0       1       5       0       2       0       1       0       0       0       0       0       0       1       -       2       0       0       0       0       1       4       0       3       2       1       1       5        14.8  [10.9,19.7]
wmh_alakazam          6       6       4       3       3       3       3       3       5       3       1       3       3       3       2       3       5       4       4       3       5       4       3       6       5       5       6       5       4       -       5       6       3       3       4       6       2       5       4       5       5       6        67.6  [61.6,73.1]
wmh_bellibolt         4       4       0       1       0       0       0       0       4       0       0       1       0       1       0       4       4       0       0       1       2       0       0       6       0       0       0       1       6       1       -       4       2       0       0       6       3       3       4       0       2       6        28.8  [23.5,34.7]
wmh_chandelure        3       2       1       1       0       1       0       0       5       1       2       2       1       0       1       2       3       0       2       3       4       3       1       4       0       2       0       0       6       0       2       -       0       4       1       2       0       5       4       3       1       6        32.0  [26.5,38.0]
wmh_froslass          6       1       2       1       2       3       1       1       6       1       1       0       3       0       2       3       5       4       1       1       1       0       1       6       0       5       5       3       6       3       4       6       -       3       5       5       3       6       6       2       6       6        51.2  [45.0,57.3]
wmh_garchomp          6       0       2       4       2       2       5       1       6       0       3       6       2       0       2       0       6       4       5       3       4       3       3       6       4       5       6       5       6       3       6       2       3       -       6       6       4       5       6       3       6       6        63.6  [57.5,69.3]
wmh_grimmsnarl        4       0       0       3       1       0       0       0       6       0       1       3       0       0       0       2       4       0       1       0       1       0       1       4       0       1       1       3       5       2       6       5       1       0       -       3       1       2       5       2       3       6        31.6  [26.2,37.6]
wmh_kangaskhan        2       0       1       0       0       0       0       0       2       0       0       1       0       1       0       0       2       0       2       0       1       0       0       3       0       1       1       0       2       0       0       4       1       0       3       -       1       1       2       0       1       2        14.4  [10.6,19.3]
wmh_megastarmie       6       1       4       6       1       5       0       2       6       1       3       4       1       2       3       3       5       1       3       2       2       1       4       6       0       3       4       5       6       4       3       6       3       2       5       5       -       6       6       4       6       6        59.2  [53.0,65.1]
wmh_mewtwo            3       1       1       2       0       0       3       2       3       0       1       0       0       0       1       0       1       0       4       0       5       1       0       4       0       4       2       3       3       1       3       1       0       1       4       5       0       -       5       4       4       4        31.2  [25.8,37.2]
wmh_ogerpon           2       0       0       5       0       0       0       0       4       0       0       0       0       2       0       0       1       0       0       1       0       0       0       1       0       1       0       1       4       2       2       2       0       0       1       4       0       1       -       0       1       3        16.0  [12.0,21.1]
wmh_trevenant         5       6       4       6       4       0       1       4       6       5       2       1       4       0       1       1       6       4       3       4       4       1       0       4       0       5       6       6       5       1       6       3       4       3       4       6       2       2       6       -       4       5        58.4  [52.2,64.3]
wmh_typhlosion        5       6       0       4       0       0       1       0       5       0       0       1       1       0       0       6       6       0       0       3       1       0       0       5       3       5       4       3       5       1       4       5       0       0       3       5       0       2       5       2       -       5        39.2  [33.4,45.4]
random_legal          3       0       0       1       0       0       0       1       2       0       0       0       0       0       0       1       0       0       1       0       0       0       0       3       0       0       0       1       1       0       0       0       0       0       0       4       0       2       3       1       1       -        10.8  [ 7.5,15.3]

=== Per-pairing win rate with Wilson 95% CI (row vs col) ===
  avikdas567_heuristic vs biohack44_day2: 0/6 =   0.0% [ 0.0,39.0]  (0.8s, 0.13s/game)
  avikdas567_heuristic vs daniilkrasnovvv_conservative_prob: 0/6 =   0.0% [ 0.0,39.0]  (0.6s, 0.10s/game)
  avikdas567_heuristic vs jek1wantaufik_lucario: 2/6 =  33.3% [ 9.7,70.0]  (1.2s, 0.20s/game)
  avikdas567_heuristic vs kiyotah_abomasnow: 0/6 =   0.0% [ 0.0,39.0]  (0.9s, 0.15s/game)
  avikdas567_heuristic vs kiyotah_dragapult: 0/6 =   0.0% [ 0.0,39.0]  (1.2s, 0.20s/game)
  avikdas567_heuristic vs kiyotah_iono: 0/6 =   0.0% [ 0.0,39.0]  (1.5s, 0.25s/game)
  avikdas567_heuristic vs kojimar_lucario: 0/6 =   0.0% [ 0.0,39.0]  (0.9s, 0.15s/game)
  avikdas567_heuristic vs makimakiai_rl: 4/6 =  66.7% [30.0,90.3]  (1.2s, 0.19s/game)
  avikdas567_heuristic vs makthanithin_1084_baseline: 0/6 =   0.0% [ 0.0,39.0]  (0.6s, 0.11s/game)
  avikdas567_heuristic vs makthanithin_improved_prob: 0/6 =   0.0% [ 0.0,39.0]  (1.4s, 0.23s/game)
  avikdas567_heuristic vs mechi22_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (1.1s, 0.19s/game)
  avikdas567_heuristic vs pixiux_lucario_v63: 0/6 =   0.0% [ 0.0,39.0]  (0.9s, 0.15s/game)
  avikdas567_heuristic vs plamen06_steel: 0/6 =   0.0% [ 0.0,39.0]  (1.0s, 0.16s/game)
  avikdas567_heuristic vs pllinas_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (4.0s, 0.66s/game)
  avikdas567_heuristic vs prvsiyan_control_v11: 3/6 =  50.0% [18.8,81.2]  (1.3s, 0.21s/game)
  avikdas567_heuristic vs prvsiyan_grimbelief_alakazam: 5/6 =  83.3% [43.6,97.0]  (1.3s, 0.21s/game)
  avikdas567_heuristic vs romanrozen_strong_start: 0/6 =   0.0% [ 0.0,39.0]  (1.0s, 0.17s/game)
  avikdas567_heuristic vs ryotasueyoshi_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (1.0s, 0.17s/game)
  avikdas567_heuristic vs tb_abomasnow: 1/6 =  16.7% [ 3.0,56.4]  (0.6s, 0.09s/game)
  avikdas567_heuristic vs tb_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (1.1s, 0.19s/game)
  avikdas567_heuristic vs tb_archaludon: 0/6 =   0.0% [ 0.0,39.0]  (0.7s, 0.12s/game)
  avikdas567_heuristic vs tb_dragapult: 1/6 =  16.7% [ 3.0,56.4]  (1.1s, 0.19s/game)
  avikdas567_heuristic vs tb_heuristic: 3/6 =  50.0% [18.8,81.2]  (1.5s, 0.25s/game)
  avikdas567_heuristic vs tb_iono: 0/6 =   0.0% [ 0.0,39.0]  (2.1s, 0.35s/game)
  avikdas567_heuristic vs tb_lucario: 0/6 =   0.0% [ 0.0,39.0]  (0.8s, 0.14s/game)
  avikdas567_heuristic vs tb_rulecore: 1/6 =  16.7% [ 3.0,56.4]  (1.1s, 0.19s/game)
  avikdas567_heuristic vs tb_search: 2/6 =  33.3% [ 9.7,70.0]  (1.0s, 0.17s/game)
  avikdas567_heuristic vs tb_starmie: 5/6 =  83.3% [43.6,97.0]  (1.2s, 0.20s/game)
  avikdas567_heuristic vs wmh_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (1.0s, 0.17s/game)
  avikdas567_heuristic vs wmh_bellibolt: 2/6 =  33.3% [ 9.7,70.0]  (1.8s, 0.31s/game)
  avikdas567_heuristic vs wmh_chandelure: 3/6 =  50.0% [18.8,81.2]  (1.6s, 0.27s/game)
  avikdas567_heuristic vs wmh_froslass: 0/6 =   0.0% [ 0.0,39.0]  (0.6s, 0.09s/game)
  avikdas567_heuristic vs wmh_garchomp: 0/6 =   0.0% [ 0.0,39.0]  (1.1s, 0.19s/game)
  avikdas567_heuristic vs wmh_grimmsnarl: 2/6 =  33.3% [ 9.7,70.0]  (0.9s, 0.16s/game)
  avikdas567_heuristic vs wmh_kangaskhan: 4/6 =  66.7% [30.0,90.3]  (0.9s, 0.15s/game)
  avikdas567_heuristic vs wmh_megastarmie: 0/6 =   0.0% [ 0.0,39.0]  (0.5s, 0.08s/game)
  avikdas567_heuristic vs wmh_mewtwo: 3/6 =  50.0% [18.8,81.2]  (1.2s, 0.20s/game)
  avikdas567_heuristic vs wmh_ogerpon: 4/6 =  66.7% [30.0,90.3]  (1.7s, 0.29s/game)
  avikdas567_heuristic vs wmh_trevenant: 1/6 =  16.7% [ 3.0,56.4]  (1.2s, 0.20s/game)
  avikdas567_heuristic vs wmh_typhlosion: 1/6 =  16.7% [ 3.0,56.4]  (1.1s, 0.18s/game)
  avikdas567_heuristic vs random_legal: 3/6 =  50.0% [18.8,81.2]  (0.7s, 0.11s/game)
  biohack44_day2 vs daniilkrasnovvv_conservative_prob: 0/6 =   0.0% [ 0.0,39.0]  (0.8s, 0.14s/game)
  biohack44_day2 vs jek1wantaufik_lucario: 5/6 =  83.3% [43.6,97.0]  (1.1s, 0.18s/game)
  biohack44_day2 vs kiyotah_abomasnow: 4/6 =  66.7% [30.0,90.3]  (0.7s, 0.12s/game)
  biohack44_day2 vs kiyotah_dragapult: 6/6 = 100.0% [61.0,100.0]  (1.6s, 0.27s/game)
  biohack44_day2 vs kiyotah_iono: 1/6 =  16.7% [ 3.0,56.4]  (1.7s, 0.28s/game)
  biohack44_day2 vs kojimar_lucario: 1/6 =  16.7% [ 3.0,56.4]  (0.7s, 0.12s/game)
  biohack44_day2 vs makimakiai_rl: 6/6 = 100.0% [61.0,100.0]  (1.2s, 0.20s/game)
  biohack44_day2 vs makthanithin_1084_baseline: 1/6 =  16.7% [ 3.0,56.4]  (0.7s, 0.12s/game)
  biohack44_day2 vs makthanithin_improved_prob: 2/6 =  33.3% [ 9.7,70.0]  (1.1s, 0.19s/game)
  biohack44_day2 vs mechi22_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (0.8s, 0.14s/game)
  biohack44_day2 vs pixiux_lucario_v63: 1/6 =  16.7% [ 3.0,56.4]  (1.1s, 0.19s/game)
  biohack44_day2 vs plamen06_steel: 1/6 =  16.7% [ 3.0,56.4]  (0.8s, 0.13s/game)
  biohack44_day2 vs pllinas_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (4.3s, 0.71s/game)
  biohack44_day2 vs prvsiyan_control_v11: 6/6 = 100.0% [61.0,100.0]  (1.3s, 0.21s/game)
  biohack44_day2 vs prvsiyan_grimbelief_alakazam: 6/6 = 100.0% [61.0,100.0]  (1.1s, 0.19s/game)
  biohack44_day2 vs romanrozen_strong_start: 1/6 =  16.7% [ 3.0,56.4]  (0.8s, 0.14s/game)
  biohack44_day2 vs ryotasueyoshi_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (0.8s, 0.13s/game)
  biohack44_day2 vs tb_abomasnow: 6/6 = 100.0% [61.0,100.0]  (0.7s, 0.11s/game)
  biohack44_day2 vs tb_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (0.8s, 0.13s/game)
  biohack44_day2 vs tb_archaludon: 1/6 =  16.7% [ 3.0,56.4]  (0.7s, 0.12s/game)
  biohack44_day2 vs tb_dragapult: 6/6 = 100.0% [61.0,100.0]  (1.4s, 0.24s/game)
  biohack44_day2 vs tb_heuristic: 6/6 = 100.0% [61.0,100.0]  (1.2s, 0.20s/game)
  biohack44_day2 vs tb_iono: 0/6 =   0.0% [ 0.0,39.0]  (1.2s, 0.21s/game)
  biohack44_day2 vs tb_lucario: 6/6 = 100.0% [61.0,100.0]  (1.1s, 0.18s/game)
  biohack44_day2 vs tb_rulecore: 6/6 = 100.0% [61.0,100.0]  (1.2s, 0.19s/game)
  biohack44_day2 vs tb_search: 6/6 = 100.0% [61.0,100.0]  (1.1s, 0.19s/game)
  biohack44_day2 vs tb_starmie: 6/6 = 100.0% [61.0,100.0]  (0.7s, 0.11s/game)
  biohack44_day2 vs wmh_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (0.9s, 0.15s/game)
  biohack44_day2 vs wmh_bellibolt: 2/6 =  33.3% [ 9.7,70.0]  (1.8s, 0.30s/game)
  biohack44_day2 vs wmh_chandelure: 4/6 =  66.7% [30.0,90.3]  (1.4s, 0.23s/game)
  biohack44_day2 vs wmh_froslass: 5/6 =  83.3% [43.6,97.0]  (1.0s, 0.17s/game)
  biohack44_day2 vs wmh_garchomp: 6/6 = 100.0% [61.0,100.0]  (1.3s, 0.22s/game)
  biohack44_day2 vs wmh_grimmsnarl: 6/6 = 100.0% [61.0,100.0]  (1.4s, 0.23s/game)
  biohack44_day2 vs wmh_kangaskhan: 6/6 = 100.0% [61.0,100.0]  (1.3s, 0.21s/game)
  biohack44_day2 vs wmh_megastarmie: 5/6 =  83.3% [43.6,97.0]  (0.9s, 0.15s/game)
  biohack44_day2 vs wmh_mewtwo: 5/6 =  83.3% [43.6,97.0]  (1.2s, 0.20s/game)
  biohack44_day2 vs wmh_ogerpon: 6/6 = 100.0% [61.0,100.0]  (1.5s, 0.26s/game)
  biohack44_day2 vs wmh_trevenant: 0/6 =   0.0% [ 0.0,39.0]  (1.0s, 0.17s/game)
  biohack44_day2 vs wmh_typhlosion: 0/6 =   0.0% [ 0.0,39.0]  (0.7s, 0.11s/game)
  biohack44_day2 vs random_legal: 6/6 = 100.0% [61.0,100.0]  (0.5s, 0.08s/game)
  daniilkrasnovvv_conservative_prob vs jek1wantaufik_lucario: 3/6 =  50.0% [18.8,81.2]  (1.5s, 0.26s/game)
  daniilkrasnovvv_conservative_prob vs kiyotah_abomasnow: 2/6 =  33.3% [ 9.7,70.0]  (0.8s, 0.14s/game)
  daniilkrasnovvv_conservative_prob vs kiyotah_dragapult: 2/6 =  33.3% [ 9.7,70.0]  (1.4s, 0.24s/game)
  daniilkrasnovvv_conservative_prob vs kiyotah_iono: 6/6 = 100.0% [61.0,100.0]  (1.4s, 0.23s/game)
  daniilkrasnovvv_conservative_prob vs kojimar_lucario: 3/6 =  50.0% [18.8,81.2]  (1.3s, 0.21s/game)
  daniilkrasnovvv_conservative_prob vs makimakiai_rl: 6/6 = 100.0% [61.0,100.0]  (1.3s, 0.21s/game)
  daniilkrasnovvv_conservative_prob vs makthanithin_1084_baseline: 3/6 =  50.0% [18.8,81.2]  (1.5s, 0.25s/game)
  daniilkrasnovvv_conservative_prob vs makthanithin_improved_prob: 3/6 =  50.0% [18.8,81.2]  (1.5s, 0.25s/game)
  daniilkrasnovvv_conservative_prob vs mechi22_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (1.2s, 0.20s/game)
  daniilkrasnovvv_conservative_prob vs pixiux_lucario_v63: 4/6 =  66.7% [30.0,90.3]  (1.1s, 0.18s/game)
  daniilkrasnovvv_conservative_prob vs plamen06_steel: 3/6 =  50.0% [18.8,81.2]  (1.2s, 0.20s/game)
  daniilkrasnovvv_conservative_prob vs pllinas_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (6.9s, 1.16s/game)
  daniilkrasnovvv_conservative_prob vs prvsiyan_control_v11: 3/6 =  50.0% [18.8,81.2]  (1.7s, 0.28s/game)
  daniilkrasnovvv_conservative_prob vs prvsiyan_grimbelief_alakazam: 6/6 = 100.0% [61.0,100.0]  (1.8s, 0.30s/game)
  daniilkrasnovvv_conservative_prob vs romanrozen_strong_start: 3/6 =  50.0% [18.8,81.2]  (1.4s, 0.23s/game)
  daniilkrasnovvv_conservative_prob vs ryotasueyoshi_alakazam: 3/6 =  50.0% [18.8,81.2]  (1.3s, 0.22s/game)
  daniilkrasnovvv_conservative_prob vs tb_abomasnow: 3/6 =  50.0% [18.8,81.2]  (0.8s, 0.13s/game)
  daniilkrasnovvv_conservative_prob vs tb_alakazam: 2/6 =  33.3% [ 9.7,70.0]  (1.6s, 0.27s/game)
  daniilkrasnovvv_conservative_prob vs tb_archaludon: 2/6 =  33.3% [ 9.7,70.0]  (1.1s, 0.19s/game)
  daniilkrasnovvv_conservative_prob vs tb_dragapult: 5/6 =  83.3% [43.6,97.0]  (1.4s, 0.24s/game)
  daniilkrasnovvv_conservative_prob vs tb_heuristic: 4/6 =  66.7% [30.0,90.3]  (1.2s, 0.20s/game)
  daniilkrasnovvv_conservative_prob vs tb_iono: 6/6 = 100.0% [61.0,100.0]  (1.8s, 0.30s/game)
  daniilkrasnovvv_conservative_prob vs tb_lucario: 6/6 = 100.0% [61.0,100.0]  (1.6s, 0.27s/game)
  daniilkrasnovvv_conservative_prob vs tb_rulecore: 6/6 = 100.0% [61.0,100.0]  (1.4s, 0.24s/game)
  daniilkrasnovvv_conservative_prob vs tb_search: 5/6 =  83.3% [43.6,97.0]  (1.5s, 0.25s/game)
  daniilkrasnovvv_conservative_prob vs tb_starmie: 6/6 = 100.0% [61.0,100.0]  (0.5s, 0.08s/game)
  daniilkrasnovvv_conservative_prob vs wmh_alakazam: 2/6 =  33.3% [ 9.7,70.0]  (1.2s, 0.19s/game)
  daniilkrasnovvv_conservative_prob vs wmh_bellibolt: 6/6 = 100.0% [61.0,100.0]  (1.5s, 0.25s/game)
  daniilkrasnovvv_conservative_prob vs wmh_chandelure: 5/6 =  83.3% [43.6,97.0]  (0.8s, 0.13s/game)
  daniilkrasnovvv_conservative_prob vs wmh_froslass: 4/6 =  66.7% [30.0,90.3]  (1.1s, 0.18s/game)
  daniilkrasnovvv_conservative_prob vs wmh_garchomp: 4/6 =  66.7% [30.0,90.3]  (1.7s, 0.28s/game)
  daniilkrasnovvv_conservative_prob vs wmh_grimmsnarl: 6/6 = 100.0% [61.0,100.0]  (1.6s, 0.26s/game)
  daniilkrasnovvv_conservative_prob vs wmh_kangaskhan: 5/6 =  83.3% [43.6,97.0]  (1.3s, 0.21s/game)
  daniilkrasnovvv_conservative_prob vs wmh_megastarmie: 2/6 =  33.3% [ 9.7,70.0]  (1.2s, 0.20s/game)
  daniilkrasnovvv_conservative_prob vs wmh_mewtwo: 5/6 =  83.3% [43.6,97.0]  (1.8s, 0.29s/game)
  daniilkrasnovvv_conservative_prob vs wmh_ogerpon: 6/6 = 100.0% [61.0,100.0]  (1.8s, 0.30s/game)
  daniilkrasnovvv_conservative_prob vs wmh_trevenant: 2/6 =  33.3% [ 9.7,70.0]  (1.5s, 0.26s/game)
  daniilkrasnovvv_conservative_prob vs wmh_typhlosion: 6/6 = 100.0% [61.0,100.0]  (1.2s, 0.20s/game)
  daniilkrasnovvv_conservative_prob vs random_legal: 6/6 = 100.0% [61.0,100.0]  (0.7s, 0.12s/game)
  jek1wantaufik_lucario vs kiyotah_abomasnow: 1/6 =  16.7% [ 3.0,56.4]  (1.1s, 0.18s/game)
  jek1wantaufik_lucario vs kiyotah_dragapult: 4/6 =  66.7% [30.0,90.3]  (1.5s, 0.25s/game)
  jek1wantaufik_lucario vs kiyotah_iono: 5/6 =  83.3% [43.6,97.0]  (2.2s, 0.37s/game)
  jek1wantaufik_lucario vs kojimar_lucario: 3/6 =  50.0% [18.8,81.2]  (1.7s, 0.28s/game)
  jek1wantaufik_lucario vs makimakiai_rl: 3/6 =  50.0% [18.8,81.2]  (1.4s, 0.23s/game)
  jek1wantaufik_lucario vs makthanithin_1084_baseline: 3/6 =  50.0% [18.8,81.2]  (1.7s, 0.29s/game)
  jek1wantaufik_lucario vs makthanithin_improved_prob: 2/6 =  33.3% [ 9.7,70.0]  (1.7s, 0.28s/game)
  jek1wantaufik_lucario vs mechi22_alakazam: 2/6 =  33.3% [ 9.7,70.0]  (1.7s, 0.29s/game)
  jek1wantaufik_lucario vs pixiux_lucario_v63: 4/6 =  66.7% [30.0,90.3]  (1.8s, 0.29s/game)
  jek1wantaufik_lucario vs plamen06_steel: 3/6 =  50.0% [18.8,81.2]  (1.3s, 0.21s/game)
  jek1wantaufik_lucario vs pllinas_alakazam: 0/6 =   0.0% [ 0.0,39.0]  (9.5s, 1.58s/game)
  jek1wantaufik_lucario vs prvsiyan_control_v11: 1/6 =  16.7% [ 3.0,56.4]  (1.2s, 0.19s/game)
  jek1wantaufik_lucario vs prvsiyan_grimbelief_alakazam: 6/6 = 100.0% [61.0,100.0]  (1.4s, 0.24s/game)
  jek1wantaufik_lucario vs romanrozen_strong_start: 4/6 =  66.7% [30.0,90.3]  (1.9s, 0.32s/game)
  jek1wantaufik_lucario vs ryotasueyoshi_alakazam: 1/6 =  16.7% [ 3.0,56.4]  (1.7s, 0.28s/game)
  jek1wantaufik_lucario vs tb_abomasnow: 5/6 =  83.3% [43.6,97.0]  (0.7s, 0.12s/game)
  jek1wantaufik_lucario vs tb_alakazam: 2/6 =  33.3% [ 9.7,70.0]  (1.4s, 0.23s/game)
  jek1wantaufik_lucario vs tb_archaludon: 1/6 =  16.7% [ 3.0,56.4]  (1.4s, 0.24s/game)
  jek1wantaufik_lucario vs tb_dragapult: 0/6 =   0.0% [ 0.0,39.0]  (1.8s, 0.30s/game)
  jek1wantaufik_lucario vs tb_heuristic: 6/6 = 100.0% [61.0,100.0]  (1.4s, 0.24s/game)
  jek1wantaufik_lucario vs tb_iono: 5/6 =  83.3% [43.6,97.0]  (2.1s, 0.35s/game)
  jek1wantaufik_lucario vs tb_lucario: 3/6 =  50.0% [18.8,81.2]  (1.8s, 0.31s/game)
  jek1wantaufik_lucario vs tb_rulecore: 4/6 =  66.7% [30.0,90.3]  (1.3s, 0.22s/game)
  jek1wantaufik_lucario vs tb_search: 3/6 =  50.0% [18.8,81.2]  (1.5s, 0.26s/game)
  jek1wantaufik_lucario vs tb_starmie: 5/6 =  83.3% [43.6,97.0]  (0.8s, 0.14s/game)
  jek1wantaufik_lucario vs wmh_alakazam: 3/6 =  50.0% [18.8,81.2]  (1.2s, 0.20s/game)
  jek1wantaufik_lucario vs wmh_bellibolt: 5/6 =  83.3% [43.6,97.0]  (1.7s, 0.29s/game)
  jek1wantaufik_lucario vs wmh_chandelure: 5/6 =  83.3% [43.6,97.0]  (1.5s, 0.25s/game)
  jek1wantaufik_lucario vs wmh_froslass: 5/6 =  83.3% [43.6,97.0]  (1.3s, 0.21s/game)
  jek1wantaufik_lucario vs wmh_garchomp: 2/6 =  33.3% [ 9.7,70.0]  (1.4s, 0.24s/game)
  jek1wantaufik_lucario vs wmh_grimmsnarl: 3/6 =  50.0% [18.8,81.2]  (1.7s, 0.29s/game)
  jek1wantaufik_lucario vs wmh_kangaskhan: 6/6 = 100.0% [61.0,100.0]  (1.0s, 0.16s/game)
  jek1wantaufik_lucario vs wmh_megastarmie: 0/6 =   0.0% [ 0.0,39.0]  (1.3s, 0.21s/game)
  jek1wantaufik_lucario vs wmh_mewtwo: 4/6 =  66.7% [30.0,90.3]  (1.6s, 0.27s/game)
  jek1wantaufik_lucario vs wmh_ogerpon: 1/6 =  16.7% [ 3.0,56.4]  (2.1s, 0.34s/game)
  jek1wantaufik_lucario vs wmh_trevenant: 0/6 =   0.0% [ 0.0,39.0]  (1.4s, 0.23s/game)
  jek1wantaufik_lucario vs wmh_typhlosion: 2/6 =  33.3% [ 9.7,70.0]  (1.7s, 0.29s/game)
  jek1wantaufik_lucario vs random_legal: 5/6 =  83.3% [43.6,97.0]  (0.9s, 0.15s/game)
  kiyotah_abomasnow vs kiyotah_dragapult: 4/6 =  66.7% [30.0,90.3]  (1.3s, 0.22s/game)
  kiyotah_abomasnow vs kiyotah_iono: 3/6 =  50.0% [18.8,81.2]  (1.6s, 0.26s/game)
